[coverage] syncing dependencies
tests/unit/distributed/test_coordination_properties.py::test_module_exports_helpers PASSED                               [  1%]
tests/unit/distributed/test_coordination_properties.py::test_storage_queue_adapter_accepts_mapping_payloads PASSED       [  1%]
tests/unit/distributed/test_coordination_properties.py::test_storage_queue_adapter_rejects_incompatible_payloads PASSED  [  1%]
tests/unit/distributed/test_coordination_properties.py::test_storage_queue_adapter_accepts_broker_queue PASSED           [  1%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_storage_coordinator_initialization PASSED [  1%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_result_aggregator_initialization PASSED [  1%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_publish_claim_functionality PASSED      [  1%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_start_storage_coordinator_returns_correct_types PASSED [  1%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_start_result_aggregator_returns_correct_types PASSED [  2%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_message_processing_integration PASSED   [  2%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_error_handling_in_message_processing PASSED [  2%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_concurrent_message_processing PASSED    [  2%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_coordinator_lifecycle_management PASSED [  2%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_aggregator_lifecycle_management PASSED  [  2%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_message_queue_protocol_compliance PASSED [  2%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_broker_type_enum_values PASSED          [  2%]
tests/unit/distributed/test_storage_coordinator.py::TestStorageCoordinator::test_coordinator_with_different_database_paths PASSED [  2%]
tests/unit/evaluation/test_harness_typing.py::test_open_duckdb_closes_connection PASSED                                  [  2%]
tests/unit/evidence/test_stability_utils.py::test_aggregate_entailment_scores_stable PASSED                              [  2%]
tests/unit/evidence/test_stability_utils.py::test_aggregate_entailment_scores_unstable PASSED                            [  3%]
tests/unit/evidence/test_stability_utils.py::test_sample_paraphrases_returns_unique_variants PASSED                      [  3%]
tests/unit/knowledge/test_graph_pipeline.py::test_session_graph_pipeline_ingest_records_provenance PASSED                [  3%]
tests/unit/knowledge/test_graph_pipeline.py::test_session_graph_pipeline_neighbors_uses_storage PASSED                   [  3%]
tests/unit/legacy/test_a2a_concurrency_sim.py::test_simulation_counts PASSED                                             [  3%]
tests/unit/legacy/test_a2a_interface.py::test_a2a_message_accepts_sdk_message PASSED                                     [  3%]
tests/unit/legacy/test_a2a_interface.py::test_runtime_requirements_raise PASSED                                          [  3%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_init PASSED                                              [  3%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_start PASSED                                             [  3%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_stop PASSED                                              [  3%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_handle_query PASSED                                      [  3%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_handle_command_get_capabilities PASSED                   [  3%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_handle_command_get_config PASSED                         [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_handle_command_set_config PASSED                         [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_handle_command_unknown PASSED                            [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_handle_info PASSED                                       [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AInterface::test_handle_query_concurrent PASSED                           [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClient::test_init PASSED                                                 [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClient::test_query_agent PASSED                                          [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClient::test_get_agent_capabilities PASSED                               [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClient::test_get_agent_config PASSED                                     [  4%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClient::test_set_agent_config PASSED                                     [  4%]
tests/unit/legacy/test_a2a_interface.py::test_get_a2a_client PASSED                                                      [  4%]
tests/unit/legacy/test_a2a_interface.py::test_requires_a2a_decorator_available PASSED                                    [  4%]
tests/unit/legacy/test_a2a_interface.py::test_requires_a2a_decorator_not_available PASSED                                [  5%]
tests/unit/legacy/test_a2a_interface.py::test_handle_query_exception PASSED                                              [  5%]
tests/unit/legacy/test_a2a_interface.py::test_handle_set_config_invalid PASSED                                           [  5%]
tests/unit/legacy/test_a2a_interface.py::test_dispatch_simulation_invariants PASSED                                      [  5%]
tests/unit/legacy/test_a2a_interface.py::test_simulation_event_order PASSED                                              [  5%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClientExtended::test_init PASSED                                         [  5%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClientExtended::test_query_agent PASSED                                  [  5%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClientExtended::test_get_agent_capabilities PASSED                       [  5%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClientExtended::test_get_agent_config PASSED                             [  5%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClientExtended::test_set_agent_config PASSED                             [  5%]
tests/unit/legacy/test_a2a_interface.py::TestA2AClientExtended::test_query_agent_error PASSED                            [  5%]
tests/unit/legacy/test_a2a_mcp_handshake.py::test_handshake_success PASSED                                               [  6%]
tests/unit/legacy/test_a2a_mcp_handshake.py::test_handshake_timeout PASSED                                               [  6%]
tests/unit/legacy/test_a2a_mcp_handshake.py::test_handshake_recovery PASSED                                              [  6%]
tests/unit/legacy/test_a2a_mcp_handshake.py::test_handshake_server_failure PASSED                                        [  6%]
tests/unit/legacy/test_additional_algorithm_docs.py::test_algorithm_docs_exist PASSED                                    [  6%]
tests/unit/legacy/test_additional_coverage.py::test_log_release_tokens_invalid_json PASSED                               [  6%]
tests/unit/legacy/test_additional_coverage.py::test_circuit_breaker_transitions PASSED                                   [  6%]
tests/unit/legacy/test_additional_coverage.py::test_circuit_breaker_recovery PASSED                                      [  6%]
tests/unit/legacy/test_additional_coverage.py::test_circuit_breaker_success_decrements PASSED                            [  6%]
tests/unit/legacy/test_additional_coverage.py::test_http_session_reuse_and_close PASSED                                  [  6%]
tests/unit/legacy/test_additional_coverage.py::test_llm_pool_session_reuse PASSED                                        [  6%]
tests/unit/legacy/test_additional_coverage.py::test_llm_pool_adapter_failure PASSED                                      [  6%]
tests/unit/legacy/test_additional_coverage.py::test_set_get_delegate PASSED                                              [  7%]
tests/unit/legacy/test_additional_coverage.py::test_pop_low_score_missing_confidence PASSED                              [  7%]
tests/unit/legacy/test_additional_coverage.py::test_output_formatter_invalid PASSED                                      [  7%]
tests/unit/legacy/test_additional_coverage.py::test_streamlit_metrics PASSED                                             [  7%]
tests/unit/legacy/test_additional_coverage.py::test_render_evaluation_summary_joins_artifacts PASSED                     [  7%]
tests/unit/legacy/test_additional_coverage.py::test_render_evaluation_summary_formats_planner_and_routing PASSED         [  7%]
tests/unit/legacy/test_additional_coverage.py::test_format_percentage_variants PASSED                                    [  7%]
tests/unit/legacy/test_additional_coverage.py::test_cli_utils_format_helpers_importable PASSED                           [  7%]
tests/unit/legacy/test_advanced_agents.py::test_domain_specialist_execute PASSED                                         [  7%]
tests/unit/legacy/test_advanced_agents.py::test_domain_specialist_can_execute PASSED                                     [  7%]
tests/unit/legacy/test_advanced_agents.py::test_moderator_execute PASSED                                                 [  7%]
tests/unit/legacy/test_advanced_agents.py::test_moderator_can_execute PASSED                                             [  8%]
tests/unit/legacy/test_advanced_agents.py::test_user_agent_execute PASSED                                                [  8%]
tests/unit/legacy/test_advanced_agents.py::test_user_agent_can_execute PASSED                                            [  8%]
tests/unit/legacy/test_advanced_agents.py::test_planner_metadata PASSED                                                  [  8%]
tests/unit/legacy/test_agent_communication.py::test_message_exchange_and_feedback PASSED                                 [  8%]
tests/unit/legacy/test_agent_communication.py::test_coalition_management_in_state PASSED                                 [  8%]
tests/unit/legacy/test_agent_communication.py::test_agent_registry_coalitions PASSED                                     [  8%]
tests/unit/legacy/test_agent_communication.py::test_orchestrator_handles_coalitions PASSED                               [  8%]
tests/unit/legacy/test_agent_communication.py::test_message_protocols PASSED                                             [  8%]
tests/unit/legacy/test_agent_registry.py::test_register_and_get_cached_instance PASSED                                   [  8%]
tests/unit/legacy/test_agent_registry.py::test_get_unknown_agent_raises PASSED                                           [  8%]
tests/unit/legacy/test_agent_registry.py::test_reset_instances PASSED                                                    [  8%]
tests/unit/legacy/test_agents_dialectical.py::test_fact_checker_audit_provenance PASSED                                  [  9%]
tests/unit/legacy/test_agents_dialectical.py::test_synthesizer_support_audit_provenance PASSED                           [  9%]
tests/unit/legacy/test_agents_llm.py::test_synthesizer_with_injected_adapter PASSED                                      [  9%]
tests/unit/legacy/test_agents_llm.py::test_contrarian_with_injected_adapter PASSED                                       [  9%]
tests/unit/legacy/test_agents_llm.py::test_fact_checker_with_injected_adapter PASSED                                     [  9%]
tests/unit/legacy/test_agents_llm.py::test_agent_factory_with_injected_adapter PASSED                                    [  9%]
tests/unit/legacy/test_agents_llm.py::test_synthesizer_dynamic PASSED                                                    [  9%]
tests/unit/legacy/test_agents_llm.py::test_contrarian_dynamic PASSED                                                     [  9%]
tests/unit/legacy/test_agents_llm.py::test_fact_checker_sources PASSED                                                   [  9%]
tests/unit/legacy/test_algorithm_docs.py::test_algorithm_docs_exist PASSED                                               [  9%]
tests/unit/legacy/test_algorithm_docs.py::test_core_docstrings_reference_docs PASSED                                     [  9%]
tests/unit/legacy/test_api.py::test_dynamic_limit PASSED                                                                 [  9%]
tests/unit/legacy/test_api.py::test_api_key_roles PASSED                                                                 [ 10%]
tests/unit/legacy/test_api.py::test_batch_query_invalid_page PASSED                                                      [ 10%]
tests/unit/legacy/test_api.py::test_fallback_no_limit PASSED                                                             [ 10%]
tests/unit/legacy/test_api.py::test_fallback_multiple_ips PASSED                                                         [ 10%]
tests/unit/legacy/test_api.py::test_request_log_thread_safety PASSED                                                     [ 10%]
tests/unit/legacy/test_api.py::test_query_failure_includes_socratic_reasoning PASSED                                     [ 10%]
tests/unit/legacy/test_api_auth_deps.py::test_require_permission_allows PASSED                                           [ 10%]
tests/unit/legacy/test_api_auth_deps.py::test_require_permission_auth_missing PASSED                                     [ 10%]
tests/unit/legacy/test_api_auth_deps.py::test_require_permission_forbidden PASSED                                        [ 10%]
tests/unit/legacy/test_api_auth_middleware.py::test_resolve_role_valid_key PASSED                                        [ 10%]
tests/unit/legacy/test_api_auth_middleware.py::test_resolve_role_invalid_key PASSED                                      [ 10%]
tests/unit/legacy/test_api_auth_middleware.py::test_resolve_role_missing_key PASSED                                      [ 11%]
tests/unit/legacy/test_api_auth_middleware.py::test_dispatch_invalid_token PASSED                                        [ 11%]
tests/unit/legacy/test_api_auth_middleware.py::test_dispatch_valid_token PASSED                                          [ 11%]
tests/unit/legacy/test_api_error_handling.py::test_query_endpoint_runtime_error PASSED                                   [ 11%]
tests/unit/legacy/test_api_error_handling.py::test_query_endpoint_invalid_response PASSED                                [ 11%]
tests/unit/legacy/test_api_error_handling.py::test_simulate_api_auth_error_rates PASSED                                  [ 11%]
tests/unit/legacy/test_api_errors.py::test_handle_rate_limit_response PASSED                                             [ 11%]
tests/unit/legacy/test_api_errors.py::test_handle_rate_limit_text PASSED                                                 [ 11%]
tests/unit/legacy/test_api_imports.py::test_no_unused_imports PASSED                                                     [ 11%]
tests/unit/legacy/test_api_lifespan.py::test_lifespan_startup_shutdown PASSED                                            [ 11%]
tests/unit/legacy/test_api_rate_limit.py::test_initial_burst_and_refill PASSED                                           [ 11%]
tests/unit/legacy/test_api_rate_limit.py::test_partial_refill PASSED                                                     [ 11%]
tests/unit/legacy/test_api_rate_limit.py::test_clock_drift PASSED                                                        [ 12%]
tests/unit/legacy/test_api_rate_limit.py::test_invalid_parameters PASSED                                                 [ 12%]
tests/unit/legacy/test_api_token_utils.py::test_generate_bearer_token_unique PASSED                                      [ 12%]
tests/unit/legacy/test_api_token_utils.py::test_verify_bearer_token PASSED                                               [ 12%]
tests/unit/legacy/test_backup_manager.py::test_create_and_restore_backup PASSED                                          [ 12%]
tests/unit/legacy/test_backup_manager.py::test_backup_scheduler_start_stop PASSED                                        [ 12%]
tests/unit/legacy/test_bm25_scoring.py::test_calculate_bm25_scores_real_documents PASSED                                 [ 12%]
tests/unit/legacy/test_budgeting.py::test_apply_adaptive_token_budget_paths PASSED                                       [ 12%]
tests/unit/legacy/test_budgeting_module.py::test_budget_scaled_by_loops_and_capped PASSED                                [ 12%]
tests/unit/legacy/test_budgeting_module.py::test_budget_increased_when_too_low PASSED                                    [ 12%]
tests/unit/legacy/test_budgeting_module.py::test_budget_unchanged_when_within_bounds PASSED                              [ 12%]
tests/unit/legacy/test_budgeting_module.py::test_budget_noop_when_missing PASSED                                         [ 13%]
tests/unit/legacy/test_cache.py::test_search_uses_cache PASSED                                                           [ 13%]
tests/unit/legacy/test_cache.py::test_cache_lifecycle PASSED                                                             [ 13%]
tests/unit/legacy/test_cache.py::test_setup_thread_safe PASSED                                                           [ 13%]
tests/unit/legacy/test_cache.py::test_cache_is_backend_specific PASSED                                                   [ 13%]
tests/unit/legacy/test_cache.py::test_cache_is_backend_specific_without_embeddings PASSED                                [ 13%]
tests/unit/legacy/test_cache.py::test_cache_key_normalizes_queries PASSED                                                [ 13%]
tests/unit/legacy/test_cache.py::test_cache_key_respects_embedding_flags PASSED                                          [ 13%]
tests/unit/legacy/test_cache.py::test_legacy_cache_entries_upgrade_on_hit PASSED                                         [ 13%]
tests/unit/legacy/test_cache.py::test_v2_cache_entries_upgrade_on_hit PASSED                                             [ 13%]
tests/unit/legacy/test_cache.py::test_cache_key_primary_reflects_hybrid_flags PASSED                                     [ 13%]
tests/unit/legacy/test_cache.py::test_sequential_hybrid_sequences_respect_cache_fingerprint PASSED                       [ 13%]
tests/unit/legacy/test_cache.py::test_interleaved_storage_paths_share_cache PASSED                                       [ 14%]
tests/unit/legacy/test_cache.py::test_context_aware_query_expansion_uses_cache PASSED                                    [ 14%]
tests/unit/legacy/test_cache_deepcopy.py::test_cache_results_are_deepcopied PASSED                                       [ 14%]
tests/unit/legacy/test_cache_deepcopy.py::test_get_cache_returns_singleton PASSED                                        [ 14%]
tests/unit/legacy/test_cache_extra.py::test_get_db_after_teardown PASSED                                                 [ 14%]
tests/unit/legacy/test_check_env_warnings.py::test_missing_package_metadata_raises PASSED                                [ 14%]
tests/unit/legacy/test_check_env_warnings.py::test_missing_pytest_bdd_raises PASSED                                      [ 14%]
tests/unit/legacy/test_check_env_warnings.py::test_missing_go_task_raises PASSED                                         [ 14%]
tests/unit/legacy/test_check_env_warnings.py::test_missing_uv_raises_version_error PASSED                                [ 14%]
tests/unit/legacy/test_check_env_warnings.py::test_task_command_failure PASSED                                           [ 14%]
tests/unit/legacy/test_check_env_warnings.py::test_main_reports_missing_metadata PASSED                                  [ 14%]
tests/unit/legacy/test_check_env_warnings.py::test_env_metadata_provider PASSED                                          [ 14%]
tests/unit/legacy/test_circuit_breaker_module.py::test_state_transitions PASSED                                          [ 15%]
tests/unit/legacy/test_circuit_breaker_module.py::test_recovery PASSED                                                   [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_format_size_units PASSED                                                [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_create_error PASSED                                              [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_create_missing_tables PASSED                                     [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_create_success PASSED                                            [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_restore_cancelled PASSED                                         [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_restore_error PASSED                                             [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_list_no_backups PASSED                                           [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_list_success PASSED                                              [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_recover_invalid_timestamp PASSED                                 [ 15%]
tests/unit/legacy/test_cli_backup_extra.py::test_backup_recover_error PASSED                                             [ 16%]
tests/unit/legacy/test_cli_help.py::test_cli_help_no_ansi PASSED                                                         [ 16%]
tests/unit/legacy/test_cli_help.py::test_search_help_includes_interactive PASSED                                         [ 16%]
tests/unit/legacy/test_cli_help.py::test_search_help_includes_visualize PASSED                                           [ 16%]
tests/unit/legacy/test_cli_help.py::test_search_loops_option PASSED                                                      [ 16%]
tests/unit/legacy/test_cli_help.py::test_search_help_includes_ontology_flags PASSED                                      [ 16%]
tests/unit/legacy/test_cli_help.py::test_visualize_help_includes_layout PASSED                                           [ 16%]
tests/unit/legacy/test_cli_helpers.py::test_find_similar_commands_basic PASSED                                           [ 16%]
tests/unit/legacy/test_cli_helpers.py::test_find_similar_commands_default_threshold PASSED                               [ 16%]
tests/unit/legacy/test_cli_helpers.py::test_parse_agent_groups_parses_nested_lists PASSED                                [ 16%]
tests/unit/legacy/test_cli_helpers.py::test_find_similar_commands_respects_threshold PASSED                              [ 16%]
tests/unit/legacy/test_cli_helpers.py::test_parse_agent_groups_discards_empty_groups PASSED                              [ 16%]
tests/unit/legacy/test_cli_helpers.py::test_require_api_key_missing_header PASSED                                        [ 17%]
tests/unit/legacy/test_cli_helpers.py::test_require_api_key_accepts_present_header PASSED                                [ 17%]
tests/unit/legacy/test_cli_helpers.py::test_report_missing_tables_sorts_and_prints PASSED                                [ 17%]
tests/unit/legacy/test_cli_helpers.py::test_report_missing_tables_uses_console PASSED                                    [ 17%]
tests/unit/legacy/test_cli_helpers.py::test_handle_command_not_found_suggests_similar PASSED                             [ 17%]
tests/unit/legacy/test_cli_helpers.py::test_install_help_text_in_readme PASSED                                           [ 17%]
tests/unit/legacy/test_cli_utils.py::test_attach_cli_hooks_exposes_attributes PASSED                                     [ 17%]
tests/unit/legacy/test_cli_utils_extra.py::test_print_error_suggestion PASSED                                            [ 17%]
tests/unit/legacy/test_cli_utils_extra.py::test_verbosity_roundtrip PASSED                                               [ 17%]
tests/unit/legacy/test_cli_utils_extra.py::test_set_verbosity_sets_env PASSED                                            [ 17%]
tests/unit/legacy/test_cli_utils_extra.py::test_print_error_emits_at_quiet_threshold[quiet] PASSED                       [ 17%]
tests/unit/legacy/test_cli_utils_extra.py::test_print_error_emits_at_quiet_threshold[normal] PASSED                      [ 18%]
tests/unit/legacy/test_cli_utils_extra.py::test_print_error_emits_at_quiet_threshold[verbose] PASSED                     [ 18%]
tests/unit/legacy/test_cli_utils_extra.py::test_print_error_suppressed_when_threshold_higher PASSED                      [ 18%]
tests/unit/legacy/test_cli_utils_extra.py::test_print_warning_respects_minimum[quiet-False] PASSED                       [ 18%]
tests/unit/legacy/test_cli_utils_extra.py::test_print_warning_respects_minimum[normal-True] PASSED                       [ 18%]
tests/unit/legacy/test_cli_utils_extra.py::test_print_warning_respects_minimum[verbose-True] PASSED                      [ 18%]
tests/unit/legacy/test_cli_utils_extra.py::test_ascii_and_table_empty PASSED                                             [ 18%]
tests/unit/legacy/test_cli_utils_extra.py::test_format_functions PASSED                                                  [ 18%]
tests/unit/legacy/test_cli_visualize.py::test_ascii_bar_graph_basic PASSED                                               [ 18%]
tests/unit/legacy/test_cli_visualize.py::test_summary_table_render PASSED                                                [ 18%]
tests/unit/legacy/test_cli_visualize.py::test_search_visualize_option PASSED                                             [ 18%]
tests/unit/legacy/test_coalition_execution.py::test_coalition_agents_run_together PASSED                                 [ 18%]
tests/unit/legacy/test_coalition_execution.py::test_configmodel_from_dict_allows_coalitions PASSED                       [ 19%]
tests/unit/legacy/test_config_env_file.py::test_config_spec_exists PASSED                                                [ 19%]
tests/unit/legacy/test_config_env_file.py::test_env_file_parsing PASSED                                                  [ 19%]
tests/unit/legacy/test_config_errors.py::test_config_spec_exists PASSED                                                  [ 19%]
tests/unit/legacy/test_config_errors.py::test_load_config_file_error PASSED                                              [ 19%]
tests/unit/legacy/test_config_errors.py::test_notify_observers_error PASSED                                              [ 19%]
tests/unit/legacy/test_config_errors.py::test_watch_config_files_error PASSED                                            [ 19%]
tests/unit/legacy/test_config_errors.py::test_watch_config_reload_error PASSED                                           [ 19%]
tests/unit/legacy/test_config_errors.py::test_reset_instance_error PASSED                                                [ 19%]
tests/unit/legacy/test_config_hot_reload_sim.py::test_config_hot_reload_sim PASSED                                       [ 19%]
tests/unit/legacy/test_config_hot_reload_sim.py::test_invalid_update_logged PASSED                                       [ 19%]
tests/unit/legacy/test_config_loader_defaults.py::test_config_spec_exists PASSED                                         [ 19%]
tests/unit/legacy/test_config_loader_defaults.py::test_invalid_env_falls_back_to_defaults PASSED                         [ 20%]
tests/unit/legacy/test_config_loader_defaults.py::test_validate_without_config_file PASSED                               [ 20%]
tests/unit/legacy/test_config_profiles.py::test_config_spec_exists PASSED                                                [ 20%]
tests/unit/legacy/test_config_profiles.py::test_config_profiles_default PASSED                                           [ 20%]
tests/unit/legacy/test_config_profiles.py::test_config_profiles_switch PASSED                                            [ 20%]
tests/unit/legacy/test_config_profiles.py::test_config_profiles_invalid PASSED                                           [ 20%]
tests/unit/legacy/test_config_profiles.py::test_config_profiles_merge PASSED                                             [ 20%]
tests/unit/legacy/test_config_reload.py::test_config_spec_exists PASSED                                                  [ 20%]
tests/unit/legacy/test_config_reload.py::test_config_reload_on_change PASSED                                             [ 20%]
tests/unit/legacy/test_config_utils.py::test_config_spec_exists PASSED                                                   [ 20%]
tests/unit/legacy/test_config_utils.py::test_module_docstring_mentions_spec PASSED                                       [ 20%]
tests/unit/legacy/test_config_utils.py::test_apply_preset_returns_configuration PASSED                                   [ 21%]
tests/unit/legacy/test_config_utils.py::test_apply_preset_unknown_name PASSED                                            [ 21%]
tests/unit/legacy/test_config_utils.py::test_validate_config_success PASSED                                              [ 21%]
tests/unit/legacy/test_config_utils.py::test_validate_config_failure PASSED                                              [ 21%]
tests/unit/legacy/test_config_validation_errors.py::test_config_spec_exists PASSED                                       [ 21%]
tests/unit/legacy/test_config_validation_errors.py::test_invalid_rdf_backend PASSED                                      [ 21%]
tests/unit/legacy/test_config_validation_errors.py::test_weights_must_sum_to_one PASSED                                  [ 21%]
tests/unit/legacy/test_config_validation_errors.py::test_default_config_loads_without_error PASSED                       [ 21%]
tests/unit/legacy/test_config_validators_additional.py::test_config_spec_exists PASSED                                   [ 21%]
tests/unit/legacy/test_config_validators_additional.py::test_reasoning_mode_valid[direct-direct0] PASSED                 [ 21%]
tests/unit/legacy/test_config_validators_additional.py::test_reasoning_mode_valid[direct-direct1] PASSED                 [ 21%]
tests/unit/legacy/test_config_validators_additional.py::test_reasoning_mode_invalid PASSED                               [ 21%]
tests/unit/legacy/test_config_validators_additional.py::test_token_budget_valid[None] PASSED                             [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_token_budget_valid[10] PASSED                               [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_token_budget_invalid[0] PASSED                              [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_token_budget_invalid[-5] PASSED                             [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_eviction_policy_valid[LRU] PASSED                           [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_eviction_policy_valid[score] PASSED                         [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_eviction_policy_valid[hybrid] PASSED                        [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_eviction_policy_valid[priority] PASSED                      [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_eviction_policy_valid[adaptive] PASSED                      [ 22%]
tests/unit/legacy/test_config_validators_additional.py::test_eviction_policy_invalid PASSED                              [ 22%]
tests/unit/legacy/test_config_watcher_cleanup.py::test_config_spec_exists PASSED                                         [ 22%]
tests/unit/legacy/test_config_watcher_cleanup.py::test_cli_watcher_cleanup PASSED                                        [ 22%]
tests/unit/legacy/test_config_watcher_cleanup.py::test_api_watcher_cleanup PASSED                                        [ 23%]
tests/unit/legacy/test_config_watcher_cleanup.py::test_cli_watcher_cleanup_error PASSED                                  [ 23%]
tests/unit/legacy/test_config_watcher_cleanup.py::test_api_watcher_cleanup_error PASSED                                  [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_orchestrator_parse_config_basic PASSED                           [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_search_stub_backend[legacy] PASSED                               [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_search_stub_backend[vss-enabled] PASSED                          [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_search_stub_backend_return_handles_fallback PASSED               [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_search_stub_duckduckgo_canonical_query PASSED                    [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_search_stub_local_file_canonical_query PASSED                    [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_planner_execute PASSED                                           [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_storage_setup_teardown PASSED                                    [ 23%]
tests/unit/legacy/test_core_modules_additional.py::test_storage_setup_without_kuzu PASSED                                [ 24%]
tests/unit/legacy/test_data_analysis.py::test_metrics_dataframe_enabled SKIPPED (analysis extra not installed)           [ 24%]
tests/unit/legacy/test_data_analysis.py::test_metrics_dataframe_disabled PASSED                                          [ 24%]
tests/unit/legacy/test_data_analysis.py::test_metrics_dataframe_polars_missing PASSED                                    [ 24%]
tests/unit/legacy/test_data_analysis.py::test_metrics_dataframe_reload_without_polars PASSED                             [ 24%]
